USO2013,TU,DC,M,UL,Month,Year,Consumption
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,1,9,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,2,9,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,3,9,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,4,9,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,5,9,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,6,9,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,7,9,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,8,9,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,9,9,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,10,9,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,11,9,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,12,9,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,1,10,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,2,10,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,3,10,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,4,10,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,5,10,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,6,10,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,7,10,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,8,10,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,9,10,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,10,10,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,11,10,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,12,10,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,1,11,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,2,11,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,3,11,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,4,11,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,5,11,20
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,6,11,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,7,11,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,8,11,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,9,11,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,10,11,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,11,11,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,12,11,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,1,12,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,2,12,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,3,12,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,4,12,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,5,12,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,6,12,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,7,12,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,8,12,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,9,12,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,10,12,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,11,12,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,12,12,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,1,13,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,2,13,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,3,13,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,4,13,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,5,13,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,6,13,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,7,13,10
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,8,13,24
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,9,13,24
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,10,13,24
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,11,13,24
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,12,13,1
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,1,14,17
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,2,14,0
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,3,14,14
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,4,14,0
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,5,14,1
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,6,14,1
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,7,14,0
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,8,14,1
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,9,14,1
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,10,14,2
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,11,14,0
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,12,14,0
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,1,15,0
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,2,15,0
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,3,15,2
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,4,15,1
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,5,15,2
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,6,15,1
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,7,15,7
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,8,15,7
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,9,15,42
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,10,15,27
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,11,15,22
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,12,15,21
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,1,9,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,2,9,10
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,3,9,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,4,9,20
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,5,9,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,6,9,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,7,9,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,8,9,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,9,9,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,10,9,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,11,9,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,12,9,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,1,10,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,2,10,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,3,10,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,4,10,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,5,10,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,6,10,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,7,10,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,8,10,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,9,10,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,10,10,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,11,10,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,12,10,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,1,11,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,2,11,30
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,3,11,29
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,4,11,7
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,5,11,18
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,6,11,20
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,7,11,23
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,8,11,15
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,9,11,19
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,10,11,15
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,11,11,15
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,12,11,15
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,1,12,7
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,2,12,8
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,3,12,11
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,4,12,10
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,5,12,11
